,age,age,age,age,avg_absences,avg_absences,avg_absences,avg_absences,avg_absences,female,female,female,female,id_s_fr,id_s_fr,id_s_fr,id_s_fr,perf_a,perf_a,perf_a,perf_a,perf_a,perf_b,perf_b,perf_b,perf_b,perf_c,perf_c,perf_c,perf_c,perf_c
33175,50.642857,51.0,52.052631,53.150002,8.754287699999999,8.4686308,8.968413400000003,1.3271319,0.52238238,1.0,1.0,1.0,1.0,3000010354.0,3000010354.0,3000010354.0,3000010354.0,-1.517720936,-0.192634033,0.5906815879999999,0.458542481,,,,,,-1.5177208999999998,-0.87513357,-0.76160216,0.25234246,-1.0175909
33209,56.041176,57.0,58.0,59.07589300000001,7.9879909,8.289978999999999,8.3786678,1.820833,,1.0,1.0,1.0,1.0,3000010151.0,3000010151.0,3000010151.0,3000010151.0,-1.12021795,,0.282749221,0.191428059,,,,-0.26324388,,-1.120218,,0.18306622,0.33860976,
33230,51.0,52.0,53.0,54.0,8.1022167,8.8791161,8.6988153,1.4336586,0.80278093,0.0,0.0,0.0,0.0,3000010106.0,3000010106.0,3000010106.0,3000010106.0,0.020068516,-0.455878313,-0.084756074,-0.629636867,,0.571908238,0.631525156,-0.69824242,-1.789972421,0.32376519,0.16805601,-0.54110295,-1.3694619,-1.5038368999999998
33246,,,,,8.394074400000001,8.2666216,8.5892315,1.1955878,0.28409728,,,,,,,,,-0.128373506,0.04144399,-0.17027843199999998,0.223448022,-1.218933521,,,,,-0.1283735,0.39913702,-0.063793704,-0.012446405,-1.2189335
33248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33250,51.0,52.0,53.0,54.0,7.9231753,8.3160744,8.8655434,1.6770029999999998,0.62303698,0.0,0.0,0.0,0.0,3000010368.0,3000010368.0,3000010368.0,3000010368.0,0.467974408,0.040302059,0.391743005,0.890828952,0.343631895,,0.607897157,0.591850156,0.510663699,0.46797439,0.027132306000000002,0.06562594299999999,0.60918963,-1.1180408000000002
33274,67.0,68.0,69.0,70.0,8.679211599999999,8.2726536,8.465858500000001,1.4016533000000002,0.27012822,1.0,1.0,1.0,1.0,3000010110.0,3000010110.0,3000010110.0,3000010110.0,0.8651116590000001,0.284803984,0.786419746,0.298971029,-0.765468055,,3.476527575,1.991384301,1.524179371,0.86511159,1.0723729,1.209071,0.56748337,-0.60444689
33296,50.0,51.0,52.0,53.0,8.467705699999998,8.2672424,8.0918741,1.8606442,0.38382527,1.0,1.0,1.0,1.0,3000010121.0,3000010121.0,3000010121.0,3000010121.0,0.086994924,0.424799785,0.198360971,0.319017506,0.711827749,-1.058723779,-0.036701523,0.236869794,,-0.57238638,0.36680117,0.2955665,-0.20870125,0.71182775
33301,52.0,53.0,54.0,55.0,8.0687075,8.5187168,9.0257607,2.0794377,0.70529169,1.0,1.0,1.0,1.0,3000010368.0,3000010368.0,3000010368.0,3000010368.0,0.635429572,0.156869995,1.767768495,0.7343575109999999,0.429931555,,,,,0.63542956,0.66013324,1.0438782,1.3228858000000001,1.1274729
33321,54.0,55.0,56.0,57.0,8.440791099999998,8.415188800000001,8.588128999999999,1.1471388,0.41425037,1.0,1.0,1.0,1.0,3000010103.0,3000010103.0,3000010103.0,3000010103.0,0.8106570129999999,0.232353636,0.371809582,1.4326877969999998,0.16647341,,,,,0.81065702,0.086735561,0.6544674,1.3425274999999999,0.49335474
33347,56.0,57.0,58.0,59.0,7.9757547,7.959556599999999,8.163026799999999,1.1522473999999998,0.95015788,1.0,1.0,1.0,1.0,3000010175.0,3000010175.0,3000010175.0,3000010175.0,-0.487260132,0.023443613,-1.826901682,-0.831631056,-1.048555967,-0.165685285,0.652477238,-0.199681044,-0.733560487,-0.48580492,0.49131963,-1.2197539,-0.73486078,-1.048556
33361,51.0,52.0,53.0,54.0,8.7339067,7.934830199999999,9.0259361,2.0640738,0.81118083,1.0,1.0,1.0,1.0,3000010105.0,3000010105.0,3000010105.0,3000010105.0,0.609674869,-0.401546241,-0.387437668,-0.937887078,-0.983973145,,0.577453451,1.37482763,0.459015107,0.60967487,0.26604128,0.48367646,-0.015583271000000001,-0.36489186
33369,57.0,58.0,59.0,60.0,8.689927099999998,8.882467300000002,8.1282291,1.4425615,0.9932583,0.0,0.0,0.0,0.0,3000010136.0,3000010136.0,3000010136.0,3000010136.0,0.346628389,-0.168594701,0.289412143,-0.748644243,0.750842873,,-0.689776305,-0.136014296,-1.539318262,0.3466284,-0.53232753,-0.054631535,-1.2817278,0.16662647
33385,,,,,7.9791269,8.803296099999997,8.3670025,1.635336,0.17626266,,,,,,,,,,,,,,,,,,,,,,
33386,52.0,,,,7.9424891,,,,0.79443532,1.0,,,,3000010155.0,,,,,,,,,,,,,,,,,
33406,61.0,62.0,64.0,,8.546930300000001,8.1989994,8.9886875,,,1.0,1.0,1.0,,3000010368.0,3000010368.0,3000010368.0,,0.487498981,,,,,,,,,0.48749899999999996,,,,
33415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33420,59.0,60.0,61.0,,8.2093725,8.5642548,8.3052807,,,1.0,1.0,1.0,,3000010135.0,3000010135.0,3000010135.0,,0.727991862,0.694851709,1.610564549,,,,-0.3981568720000001,-0.457695265,,0.72799188,-0.40977898,0.59447759,,
33422,52.0,53.0,54.0,55.0,8.1172361,8.1907692,8.779088,1.6737117,0.83374304,0.0,0.0,0.0,0.0,3000010362.0,3000010362.0,3000010362.0,3000010362.0,0.278154767,-0.119508486,0.015154163,-0.006983233,-0.049859534,,,,,0.27815476,0.67943358,0.25656173,-0.006983233,-0.27459389
33428,52.0,53.0,54.0,55.0,8.8853102,8.6335526,8.6440468,1.2657546999999998,0.74012506,1.0,1.0,1.0,1.0,3000010226.0,3000010226.0,3000010226.0,3000010226.0,0.17385111399999995,0.038297231,-0.7687626129999999,1.4203315319999998,-0.51307686,0.418979514,0.009437331,-1.112600364,0.12726831800000002,0.047661718,0.64001054,-0.76964402,0.96695584,-0.51177883
33438,51.0,52.0,53.0,54.0,8.678095800000001,8.0846043,8.614934,1.3835781,0.005152287,0.0,0.0,0.0,0.0,3000010625.0,3000010625.0,3000010625.0,3000010625.0,0.275592989,0.406187511,-0.15517907,-0.335530155,-0.230781245,,,,,0.27559298,0.4061875,-0.15517907,-0.33553016,-0.23078124
33440,55.0,56.0,57.0,58.0,8.5390739,8.1478815,8.9786205,1.1301839,0.06741605,1.0,1.0,1.0,1.0,3000010249.0,3000010249.0,3000010249.0,3000010249.0,-0.098840459,0.160622109,0.405758193,0.901417932,,,,,,-0.09884046,0.16062211,0.17663316,0.79894704,
33451,60.0,61.0,62.0,,8.488161999999999,8.4500198,8.8517771,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
33474,50.0,51.0,52.0,53.0,8.1939068,8.8105192,8.7875185,1.5882071000000002,0.64225465,1.0,1.0,1.0,1.0,3000010132.0,3000010132.0,3000010132.0,3000010132.0,1.780586157,2.271196803,2.09649118,1.280360294,0.965224524,,,,,1.7805861,2.2711966,2.0964913,1.2803603000000001,0.9652245
33481,51.0,52.0,53.0,54.0,8.827622400000003,8.2705412,8.748285300000001,1.4313828000000002,0.79812777,0.0,0.0,0.0,0.0,3000010170.0,3000010170.0,3000010170.0,3000010170.0,1.234013536,1.699559649,1.250987193,1.436101465,0.394427167,,,,,1.2340136,-0.21694899999999998,0.76376152,0.16024578,-0.46352416
33501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33602,50.0,51.0,52.0,53.0,8.469237300000001,8.8649979,8.4176273,1.9732213,0.21401773,1.0,1.0,1.0,1.0,3000010104.0,3000010104.0,3000010104.0,3000010104.0,0.8305632709999999,1.196201747,1.761979388,2.079518264,4.525072351,,,,,0.83056325,1.1962017,1.7619793000000001,2.0795183,4.5250726
33628,51.0,52.0,53.0,54.0,8.415113400000001,8.1040936,8.759409,1.33041,0.024515672,1.0,1.0,1.0,1.0,3000010155.0,3000010155.0,3000010155.0,3000010155.0,1.568049241,1.116341925,0.455119319,0.334575949,0.4083887920000001,,0.273354505,,,1.5680493,0.74053389,0.88884461,0.078519322,0.52579689
33648,61.0,62.0,63.0,,8.345047000000001,8.2348089,8.652467699999999,,,1.0,1.0,1.0,,3000010368.0,3000010368.0,3000010368.0,,,,,,,,,,,,,,,
33651,51.0,52.0,53.0,,8.408910800000001,8.866617199999997,8.6578112,,,1.0,1.0,1.0,,3000010382.0,3000010382.0,3000010382.0,,-1.3377131290000002,,,,,,,,,-1.3377131000000002,,,,
33662,51.0,52.0,53.0,54.0,8.8555603,8.752785699999999,8.389939300000002,1.8726052,0.77113378,0.0,0.0,0.0,0.0,3000010165.0,3000010165.0,3000010165.0,3000010165.0,1.4935019019999998,0.8512026890000001,1.262659169,0.346626803,-0.174380428,-0.222092095,-0.195345407,0.626102509,-0.293042249,0.47045496,0.53572267,1.0747503,-0.26244923,-0.94936633
33665,,,,,8.090703,7.9961209,8.9958,1.1877712,,,,,,,,,,,,,,,,,,,,,,,
33670,51.0,52.0,53.0,54.0,8.444911,8.0188236,9.0132799,1.5383103,0.88635451,1.0,1.0,1.0,1.0,3000010685.0,3000010685.0,3000010685.0,3000010685.0,0.473450738,-0.359954304,-0.223233093,0.5193325089999999,2.743583419,,,,,0.038146336,-0.35995429999999995,-0.22323309,0.51933253,2.7435834
33688,51.0,52.0,53.0,54.0,8.3624802,8.6917095,8.5225725,1.2532668,0.84047133,1.0,1.0,1.0,1.0,3000010121.0,3000010121.0,3000010121.0,3000010121.0,0.813993596,1.125087398,1.125979332,1.2314698999999998,0.896965371,0.431788379,,,,0.75081331,0.82593733,0.98748779,1.4293272,1.0257603000000002
33701,52.0,53.0,54.0,,8.8470984,8.254725500000001,8.2951136,,,1.0,1.0,1.0,,3000010354.0,3000010354.0,3000010354.0,,0.195741954,-0.40851909,-1.017214858,,,,,,,0.19574195,-0.9614768,-1.0448221,,
33746,50.0,51.0,52.0,53.0,7.9511185,8.665050500000001,8.3917379,1.2499976000000002,0.84974426,1.0,1.0,1.0,1.0,3000010136.0,3000010136.0,3000010136.0,3000010136.0,0.279149333,-0.5850357860000001,0.174652787,0.221837595,0.346948014,,-0.190709224,1.289214061,-0.136678016,0.27914932,-0.75200236,0.16919206,-0.16702975,-0.59549147
33763,51.0,52.0,53.0,54.0,8.1097708,8.5819569,8.7771864,1.6694924999999998,0.68008316,1.0,1.0,1.0,1.0,3000010105.0,3000010105.0,,,0.180840331,0.045237257,,,,,,,,0.18084033,-0.16225983,,,
33883,57.0,58.0,59.0,60.0,7.9268413,7.9538884,8.550548599999999,1.1728051000000002,0.78662485,1.0,1.0,1.0,1.0,3000010152.0,3000010152.0,3000010152.0,3000010152.0,1.168109729,1.369457145,1.212229899,0.487932585,0.723900164,2.937618936,2.287458637,3.824427023,,2.1119912,1.2209603,2.004565,0.35599706,0.55748558
33886,55.0,56.25,57.599998,58.5,8.2223492,7.976933,8.436930699999998,1.7992689999999998,,0.0,0.0,0.0,0.0,3000010289.0,3000010289.0,3000010289.0,3000010289.0,0.395344956,0.329668974,-0.841676269,-0.056716676,,,,,,0.39534494,0.37433648,-0.83892196,-0.19934401,
33917,,,,53.16666800000001,,,,1.5556136,,,,,1.0,,,,,,,,-1.221229398,,,,,,,,,-1.2212294,
33924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33952,52.0,53.0,54.0,55.0,8.6227102,8.793042199999999,8.7944012,1.5563334,0.14638610000000002,0.0,0.0,0.0,0.0,3000010354.0,3000010354.0,3000010354.0,3000010354.0,0.52396423,0.209900499,1.294245422,0.572432144,0.730799403,,,,,0.52396423,-0.3196193,0.62434286,-0.87851226,0.63827747
34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34023,54.0,55.0,56.0,,8.2081604,8.143598599999999,8.4770613,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
34050,,,,,8.1044912,7.988523,8.682109800000001,2.1078746,0.82412368,,,,,,,,,,,,,,,,,,,,,,
34059,49.0,50.0,51.0,52.07,7.9638023,8.4062977,8.905235300000003,1.7734772,0.95739174,1.0,1.0,1.0,1.0,3000010021.0,3000010021.0,3000010021.0,3000010021.0,,,,-0.7213788590000001,0.376489489,,,,,,,,-0.72137886,0.37648949
34071,55.05208199999999,56.0,57.0,58.065361,8.151592299999999,8.7668362,8.3031874,1.4071056,0.23658422,0.0,0.0,0.0,0.0,3000010226.0,3000010226.0,3000010226.0,3000010226.0,-0.838808364,-0.885366966,-1.478619984,-0.280717745,0.212793453,1.0472581,,,,0.55366915,0.37469462,-0.6512357,0.31446832,0.48504978
34086,50.0,51.0,52.0,53.0,8.0454445,8.391061800000001,8.1477842,1.7811457999999998,0.58652145,1.0,1.0,1.0,1.0,3000010165.0,3000010165.0,3000010165.0,3000010165.0,0.437768315,1.094132279,1.36555928,0.8507792909999999,-0.218053448,,2.397367847,2.648685917,2.902135673,0.43776831,1.9054753,1.8517131000000002,1.461773,1.283836
34119,,,,56.0,,,,,,,,,1.0,,,,1006250211.0,,,,,,,,,,,,,,
34156,51.0,52.0,53.0,54.0,8.752818099999999,8.4703655,8.593936900000001,1.4643828,,1.0,1.0,1.0,1.0,3000010309.0,3000010309.0,3000010309.0,3000010309.0,,-0.609670327,-0.8914667009999999,-1.545368747,,,,,,,-0.60967034,0.088746145,-1.2818108999999998,
34192,51.0,52.0,53.0,54.0,8.262537,8.667311699999999,8.083676299999999,1.8277038,0.15295248,1.0,1.0,1.0,1.0,3000010104.0,3000010104.0,3000010104.0,3000010104.0,0.817102942,0.037731298,1.507088129,2.294978979,1.809889488,,,,,0.81710297,0.28878132,1.1350194,1.2324513000000001,0.86722642
34235,50.0,51.0,52.0,53.0,8.0002031,8.4003048,8.3281317,1.2519439,0.3780809,1.0,1.0,1.0,1.0,3000010309.0,3000010309.0,3000010309.0,3000010309.0,0.198363452,0.473094695,1.29179401,1.495472062,1.946297568,,,,,-0.37469146,-0.14439811,0.90192753,0.53323972,1.5201051
34239,53.0,54.0,55.0,56.0,8.0709019,8.7079849,8.9910212,2.091759,0.19783823,1.0,1.0,1.0,1.0,3000010256.0,3000010256.0,3000010256.0,3000010256.0,-0.022407316,1.6538924330000002,0.586943212,-0.340263209,-0.871601147,,,,-0.795985885,-0.022407316,0.26776966,0.58694321,-0.38666001,-0.23235597
34256,51.0,52.0,53.0,54.0,8.3321495,8.8387289,8.498423599999999,1.9118125,0.15083838,1.0,1.0,1.0,1.0,3000010140.0,3000010140.0,3000010140.0,3000010140.0,0.359773481,0.476553409,0.419375053,0.624167585,0.162414047,,,,,0.35977346,-0.25229371,0.22259915,0.3556473,0.15740520000000002
34283,52.0,53.0,54.0,55.0,8.026505499999999,8.0952005,8.421078699999999,1.7600855,0.88188565,1.0,1.0,1.0,1.0,3000010311.0,3000010107.0,3000010107.0,3000010107.0,-0.579024695,-0.665186313,-0.696312357,-1.342043713,,,,,,-0.57902473,-0.66518635,-1.0554823,-0.37800986,0.34137389
34310,,,,,8.4966249,8.0356398,8.1716366,1.615918,0.56671721,,,,,,,,,,,,,,,,,,,,,,
34320,50.0,51.0,52.0,53.0,8.360673,8.366122200000001,8.442625,2.0885851000000004,0.78130704,0.0,0.0,0.0,0.0,3000010368.0,3000010368.0,3000010368.0,3000010368.0,,,,,,,,,,,,,,
34326,51.0,52.0,53.0,54.0,8.2324848,7.9358435,8.778922999999999,1.4396746,0.92806876,1.0,1.0,1.0,1.0,3000010190.0,3000010190.0,3000010190.0,3000010190.0,0.207089848,-0.088188802,-0.815502168,-0.450464292,-0.31459185300000003,-0.211443996,0.5082382329999999,0.16872758100000002,0.453932632,0.067378424,0.61676294,-0.64288479,0.13500476,-0.090169087
34357,52.0,53.0,54.0,55.0,7.9480333,8.5672836,8.4799175,1.4333091999999998,0.62605172,1.0,1.0,1.0,1.0,3000010155.0,3000010155.0,3000010155.0,3000010155.0,-0.51963701,-0.709984015,1.4512273690000002,-1.428472449,-0.14922962,,,,,-0.51963699,-1.5474504,-0.38532409,-1.6495583999999999,-0.78994161
34363,53.0,54.0,55.0,56.0,8.3541193,8.7873888,8.712467199999999,1.6808286,0.62391669,1.0,1.0,1.0,1.0,3000010288.0,3000010288.0,3000010288.0,3000010288.0,-1.395592233,-2.180547905,-0.070464627,-0.785500821,0.155175196,-0.627126923,-1.822989384,,,-1.0898927,-1.9015369,-0.27452064,-0.61732626,0.16108111
34394,52.0,53.0,54.0,55.0,8.5096693,8.186367,8.1731701,1.3119502,0.81721133,1.0,1.0,1.0,1.0,3000010352.0,3000010352.0,3000010352.0,3000010352.0,0.451634915,-0.531061115,0.7690657190000001,0.828580445,,,0.222830163,0.951260532,,0.45163491,-0.25504988,0.10822093,1.2711746000000002,0.54470694
34405,51.0,52.0,53.0,54.0,8.5868473,8.432338699999999,8.195611,1.1535764,0.50342768,1.0,1.0,1.0,1.0,3000010121.0,3000010121.0,3000010121.0,3000010121.0,-0.402115106,0.690254189,1.070123915,1.176161022,-0.31926232600000004,-0.596469264,0.599453491,,,-0.53658384,-0.09142714,0.36845529,0.66929054,-1.2319988000000002
34407,51.0,52.0,53.0,54.0,8.098526,7.9742379,8.1196804,1.6154147,0.94506001,0.0,0.0,0.0,0.0,3000010140.0,3000010140.0,3000010140.0,3000010140.0,0.093717985,-0.148953336,-0.906817068,-1.126431779,,,,,,0.093717985,-0.21112943,-1.112433,-0.97399974,
34419,57.0,58.0,59.0,60.0,8.403848599999998,8.041402799999998,8.9167671,1.2264156000000002,0.22337997,0.0,0.0,0.0,0.0,3000010362.0,3000010362.0,3000010362.0,3000010362.0,0.978102356,0.390645325,0.558561326,0.113666341,-0.052581331,,,,,0.97810233,0.39064533,-0.020952228,0.11366634,0.39393631
34423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34428,50.0,51.0,52.0,53.0,8.6622944,8.8509216,8.3366413,1.1850926000000002,0.77811033,1.0,1.0,1.0,1.0,3000010144.0,3000010144.0,3000010144.0,3000010144.0,0.546670821,-0.51945089,-0.296823626,-0.980824594,-0.325762997,,,,,0.54667079,-0.1660772,0.14941747,-0.5918203000000001,0.41903767
34437,60.0,61.0,62.0,,8.5475168,8.8370934,8.454505900000001,,,0.0,0.0,0.0,,3000010180.0,3000010180.0,3000010180.0,,1.301554526,1.875166501,-0.730919335,,,0.25952882,-0.475317271,0.08481692,,0.38469705,0.41607961,0.27809283,,
34465,51.0,52.0,53.0,54.0,8.3580399,8.0411739,8.643830300000001,1.7410104,0.36744526,1.0,1.0,1.0,1.0,3000010857.0,3000010857.0,3000010857.0,3000010857.0,0.609136549,0.914723912,1.51873975,0.997391962,0.916548759,,,,,0.60913652,0.91472393,1.5187396999999998,0.99739194,0.91654873
34468,50.0,51.0,52.0,,8.6496677,8.669035899999999,8.4916,,,1.0,1.0,1.0,,3000010167.0,3000010167.0,3000010167.0,,,,,,,,,,,,,,,
34492,54.0,55.0,56.0,57.0,8.6789894,8.607935000000001,8.7882147,1.4046433,0.8856045,0.0,0.0,0.0,0.0,3000010368.0,3000010368.0,3000010368.0,3000010368.0,-0.499103989,0.215501938,1.796681654,1.241044783,0.5131871060000001,,,,,-0.49910399,0.36080366,1.1203166000000002,0.51241922,0.32200813
34513,63.0,64.0,65.0,,8.0316401,8.780124699999998,8.2309551,,,1.0,1.0,1.0,,3000010380.0,3000010380.0,3000010380.0,,,,,,,,,,,,,,,
34518,57.0,58.0,59.0,60.0,8.3224659,8.502657899999999,8.9960938,1.5483639,,1.0,1.0,1.0,1.0,3000010110.0,3000010110.0,3000010110.0,3000010110.0,0.393880529,0.766106535,1.4005800430000002,,,0.242429238,0.361238639,0.607533809,,0.20597018,0.18532354,0.86532348,,
34535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34539,59.0,60.0,61.0,,8.8484516,8.027832,8.9636202,,,1.0,1.0,1.0,,3000010105.0,3000010105.0,3000010105.0,,0.202161089,,-0.92063869,,,0.941687007,,,,0.58777678,,-0.92063868,,
34555,53.0,54.0,55.0,56.0,8.1712542,8.4284439,8.445032099999999,1.1936361999999998,0.24246597,1.0,1.0,1.0,1.0,3000010167.0,3000010167.0,3000010167.0,3000010167.0,0.96351104,0.802030395,-0.020460338,0.092006952,0.950878957,,0.787139439,0.531797527,-0.416711523,0.96351105,0.36729234,-0.096282989,-0.47043118,0.60122794
34572,58.0,59.0,60.0,,8.6325331,8.3768492,8.1664429,,,0.0,0.0,0.0,,3000010360.0,3000010360.0,3000010360.0,,-0.519561719,-0.488251191,-0.06416791,,,,,,,-0.51956171,-0.48825118,-0.06416790900000001,,
34578,56.0,57.0,58.0,59.0,8.851641699999998,8.2594595,8.3892145,1.4933803999999995,0.27551082,1.0,1.0,1.0,1.0,3000010021.0,,,3000010190.0,,,,-1.025582691,,,,,,,,,-1.0255827,
34596,56.0,57.0,58.0,59.0,7.938677799999999,8.738778100000001,8.2484865,1.2150054,,1.0,1.0,1.0,1.0,3000010193.0,3000010193.0,3000010193.0,3000010193.0,1.846199212,0.6127215979999999,1.77505696,1.248643196,,,,-0.681985518,0.228576172,1.8461991999999998,0.61272162,1.3299527,0.62395817,
34664,51.0,52.0,53.0,54.0,8.2600775,8.7617445,8.9296875,2.0565922,0.056903068,1.0,1.0,1.0,1.0,3000010190.0,3000010190.0,3000010190.0,3000010190.0,-0.922140193,-0.504536577,0.288082433,1.858433305,1.406571253,,,,,-0.92214018,0.54960555,0.081335381,1.4755572,1.3059285
34669,,,,,8.3792334,7.9389291,8.998956699999997,1.5628401,0.75199682,,,,,,,,,,,,,,,,,,,,,,
34691,52.0,53.0,54.0,55.0,8.3860359,8.4099913,8.0550556,1.1449285,0.95037276,1.0,1.0,1.0,1.0,3000010161.0,3000010161.0,3000010161.0,3000010161.0,-0.494086189,-0.494328453,-1.144927047,0.00728699,1.253073388,,,,,-0.49408618,-0.49432847,-1.144927,0.00728699,0.81764305
34709,61.0,62.0,63.0,,7.9525685,8.1065273,8.344944,,,1.0,1.0,1.0,,3000010140.0,3000010140.0,,,-0.34055375200000004,-2.507932488,,,,2.174575215,0.986038303,,,1.4199319,-0.35908172,,,
34751,53.0,54.0,55.0,56.037037,8.322441099999999,8.678119699999998,8.7357244,1.3212298999999998,0.23010764,1.0,1.0,1.0,1.0,3000010316.0,3000010316.0,3000010316.0,3000010316.0,-0.643748454,0.249165241,-0.447889754,0.542586682,0.4968273070000001,,,,,-0.64374846,-1.5103736,-0.38437784,0.23394601,0.030195104
34760,51.0,52.0,53.0,54.0,8.819912,8.159568799999999,8.3490896,1.9478886,0.55183595,1.0,1.0,1.0,1.0,3000010180.0,3000010180.0,3000010180.0,3000010180.0,0.999998361,1.808890147,0.470196035,0.504946718,-0.638843759,1.355975098,-0.8143891670000001,-1.130946501,-0.917603008,1.0368143,0.30134675,0.008606383,-0.52237564,-0.50933623
34761,,,,,7.9622092,8.7843494,8.2506094,1.173707,0.70344323,,,,,,,,,,,,,,,,,,,,,,
34798,57.0,58.0,59.0,60.0,8.0285606,8.2438173,8.579508800000001,1.7805885,0.72492892,1.0,1.0,1.0,1.0,3000010354.0,3000010364.0,3000010364.0,3000010364.0,0.668473093,1.23391972,-1.300469048,,,,,,0.415932495,0.66847306,-0.11176755,-1.300469,0.41593251,
34802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34825,58.0,59.0,60.0,,8.8046312,8.5093212,8.9267664,,,0.0,0.0,0.0,,3000010360.0,3000010360.0,3000010360.0,,-1.83338597,-0.910397978,,,,,,,,-1.8333859000000001,0.20713560000000003,,,
34835,56.0,57.0,58.0,,8.4759264,7.9950857000000015,8.1425314,,,1.0,1.0,1.0,,3000010160.0,3000010160.0,3000010160.0,,0.231969851,,,,,,,,,0.23196985,-2.7678732999999998,,,
34843,53.0,54.0,55.0,56.0,7.9386287,8.9126301,8.872452699999998,1.4392945,0.47212347,1.0,1.0,1.0,1.0,3000010155.0,3000010155.0,3000010155.0,3000010155.0,2.378993736,2.251880775,2.082505826,1.445604619,,1.246086544,1.156001137,,,1.1340027,0.81460816,1.4899143,1.4214956,
34844,49.0,50.0,,,8.466056800000002,8.3375959,,,0.87469941,1.0,1.0,,,3000010155.0,3000010155.0,,,2.239477502,1.770952677,,,,,,,,2.2394773999999997,0.85093755,,,
34845,59.0,60.0,61.0,,8.3867617,8.2732124,8.445466999999999,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
34871,,,,,8.195281,7.9852591,8.2672796,1.3061051,0.73422879,,,,,,,,,,,,,,,,,,,,,,
34877,53.0,54.0,55.0,56.0,8.4271364,7.9871607,8.2494717,2.0658166,0.24797636,1.0,1.0,1.0,1.0,3000010291.0,3000010291.0,3000010291.0,3000010291.0,0.657582381,1.322606285,0.208904437,0.778241758,1.03050279,,,,,0.33266467,1.0563856000000003,0.20890443,1.3271331,0.85158801
34888,52.0,53.0,54.0,55.0,8.3603659,8.428680400000001,8.4117746,1.892116,0.88782507,0.0,0.0,0.0,0.0,3000010121.0,3000010121.0,3000010121.0,3000010121.0,1.355457952,0.3823446,0.415392478,1.050947682,0.5739619739999999,,,,,1.355458,0.6856727,0.61746269,0.8838020000000001,-0.056353662
34927,64.0,65.0,66.0,67.0,8.006400099999999,8.690927499999999,8.653595900000001,1.1257776000000002,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.4356637,
34928,66.0,67.0,68.0,,8.8924103,8.1680489,8.938184699999997,,,1.0,1.0,1.0,,3000010179.0,3000010179.0,3000010179.0,,,,,,,,,,,,,,,
34932,60.0,61.0,62.0,,8.0816593,8.125699000000001,9.0229092,,,0.0,0.0,0.0,,3000010151.0,3000010151.0,3000010151.0,,0.623965346,0.29907706100000003,,,,-1.263387442,0.560773829,,,-0.89697438,0.025849771,,,
34956,50.0,51.0,52.0,53.0,8.0464125,8.1211491,8.6009026,1.3846825,0.21157931,0.0,0.0,0.0,0.0,3000010287.0,3000010287.0,3000010287.0,3000010287.0,-0.35004067,-0.08477133,-0.544590598,-1.449397506,-1.526522264,,,,,-0.35004067,-0.33732340000000005,-0.19307828,-1.2620065,-1.5265222999999999
34978,65.0,65.0,66.0,,7.9929605,8.3991852,8.1741714,,,0.0,0.0,0.0,,3000010107.0,3000010107.0,3000010107.0,,,,,,,,,,,,,,,
34988,52.0,53.0,54.0,55.0,8.2653894,8.2299728,8.0697718,1.8902528000000005,0.45896429,0.0,0.0,0.0,0.0,3000010226.0,3000010226.0,3000010226.0,3000010226.0,0.107452319,-2.9848082710000003,-1.355416937,-0.909950178,-1.6216964130000002,,,,,0.10745231,-2.9848082000000002,-1.1141964,-0.9099502,-1.5864968000000002
35041,,,,,8.538117399999999,8.4390011,8.881136900000003,,,,,,,,,,,,,,,,,,,,,,,,
35064,50.0,51.0,52.0,53.0,8.116159399999999,8.5155935,8.4890594,1.8900485,0.89886183,1.0,1.0,1.0,1.0,3000010170.0,3000010170.0,3000010170.0,3000010170.0,0.905718619,0.620932981,0.274459085,-0.19020146,,,,,,0.90571868,0.620933,0.31053877,0.21750462,1.3786121999999998
35129,50.0,51.0,52.0,53.0,8.623595199999999,7.981826299999999,8.8514481,1.1657373,0.73671526,0.0,0.0,0.0,0.0,3000010110.0,3000010110.0,3000010110.0,3000010110.0,0.175426837,0.729806647,2.342335405,0.725041653,-0.629573093,0.3737483620000001,1.441225933,1.404047281,1.23132908,0.48905748,0.58765638,1.2764618,0.72028595,-0.1737611
35137,51.0,52.0,53.0,54.0,7.941162599999998,8.6995945,8.366518,1.9308658,0.48641682,1.0,1.0,1.0,1.0,3000010123.0,3000010123.0,3000010123.0,3000010123.0,0.5886630860000001,0.043661507,0.552525475,0.334831822,-0.152226555,1.194385274,1.567555055,-0.7681805270000001,0.25328416600000003,0.99443489,0.40447861,-0.29773185,-0.32902557,-0.24210675
